# {"exp_name": "imagined-sound", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 44100, "stim_db": 65, "noise_db": 45, "noise_array": null, "output_dir": "logs", "window_size": [1200, 900], "screen_num": 1, "full_screen": false, "force_quit": ["lctrl", "rctrl"], "participant": "foo", "monitor": null, "trigger_controller": null, "session": "999", "check_rms": null, "suppress_resamp": false, "version": "dev", "safe_flipping": null, "n_channels": 2, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2025-09-29 13_51_25.535820", "file": "C:\\Users\\stim\\MEGLab_Code\\GitHub_Packages\\expytest_packages\\imagined-sound\\src\\imagined_sound\\run_experiment.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
53.55376750003779	play	None
53.553896000026725	flip	53.55363870004658
55.01017730002059	stop	None
55.03679430001648	flip	55.0367909000488
56.553408900042996	flip	56.55340319999959
58.03648320003413	flip	58.03648010001052
58.036638600053266	stimulus began at 53.55363870004658. Response period began at 56.55340319999959, ended at 57.974411400035024 (1.4210082000354305 s duration). Button press at <NONE>	None
58.03676899999846	trial_ok	None
59.261689300008584	trial_id	NWF03_04-02.wav
59.32016390003264	play	None
59.320291200012434	flip	59.32003740000073
60.96175190003123	stop	None
61.003410000004806	flip	61.00340620003408
62.75345160003053	flip	62.75344739999855
63.365714800020214	keypress	0
63.419495700043626	flip	63.41949260002002
63.41962640004931	stimulus began at 59.32003740000073. Response period began at 62.75344739999855, ended at 0.6122674000216648 (-62.141179999976885 s duration). Button press at 0.6122674000216648	None
63.4197417999967	trial_ok	None
64.6229178000358	trial_id	NWF03_04-04.wav
64.66998659999808	play	None
64.67011440003989	flip	64.66986360005103
66.20659150002757	stop	None
66.23598590004258	flip	66.23598360002507
67.93669910001336	flip	67.93669450003654
69.4197594000143	flip	69.41975520004053
69.41992120002396	stimulus began at 64.66986360005103. Response period began at 67.93669450003654, ended at 69.3577603000449 (1.421065800008364 s duration). Button press at <NONE>	None
69.42005400004564	trial_ok	None
70.58191710000392	trial_id	NWF03_04-05.wav
70.63660110003548	play	None
70.63672570005292	flip	70.63647810003022
71.79428010003176	stop	None
71.819891799998	flip	71.81988800002728
73.13654259999748	flip	73.13653830002295
74.60274590004701	flip	74.60274310002569
74.60287790000439	stimulus began at 70.63647810003022. Response period began at 73.13653830002295, ended at 74.55775430001086 (1.4212159999879077 s duration). Button press at <NONE>	None
74.60299040004611	trial_ok	None
75.84107900003437	trial_id	NWF03_04-08.wav
75.88660399999935	play	None
75.88673250004649	flip	75.88646300003165
77.69401100004325	stop	None
77.71975760004716	flip	77.71970280003734
79.63646540004993	flip	79.6364608000149
80.58957499999087	keypress	0
80.63619720004499	flip	80.63619360001758
80.63635350001277	stimulus began at 75.88646300003165. Response period began at 79.6364608000149, ended at 0.9531141999759711 (-78.68334660003893 s duration). Button press at 0.9531141999759711	None
80.63648950000061	trial_ok	None
81.86051480000606	trial_id	NWF03_05-02.wav
81.91995330003556	play	None
81.92008140002145	flip	81.91982360003749
83.61881990003167	stop	None
83.65296350000426	flip	83.65295950003201
85.56968130002497	flip	85.5696771000512
87.03612340003019	flip	87.03612060000887
87.03623060003156	stimulus began at 81.91982360003749. Response period began at 85.5696771000512, ended at 86.99091680004494 (1.4212396999937482 s duration). Button press at <NONE>	None
87.03632350004045	trial_ok	None
88.08623750001425	screen_text	In this block, you will hear sentences. After the sentence ends, there will be a brief delay and then the fixation circle will change color (either {color (187, 85, 102, 255)}pink{color (255, 255, 255, 255)} or {color (221, 170, 51, 255)}yellow{color (255, 255, 255, 255)}). If it turns {color (187, 85, 102, 255)}pink{color (255, 255, 255, 255)}, imagine that you are hearing the sentence again (but do not repeat it out loud) and press the response button when you are finished imagining the sentence. If the fixation circle turned {color (221, 170, 51, 255)}yellow{color (255, 255, 255, 255)}, imagine that you are hearing the sentence again, but do NOT press the response button; the next trial will start automatically. Press any key to continue.
88.08639730000868	flip	88.08623340004124
134.59777749999193	keypress	enter
134.60158830002183	flip	134.6015863000066
134.6197155000409	screen_text	Here we go!
134.61977490002755	flip	134.61971350002568
135.03529300005175	flip	135.035290800035
135.25898959999904	trial_id	NWF03_05-05.wav
135.3198074999964	play	None
135.31996770005208	flip	135.31966140004806
137.24848300003214	stop	None
137.28582280001137	flip	137.28581800003303
138.0190125000081	flip	138.01900800003204
140.51890860003186	flip	140.51890439999988
140.51907080004457	stimulus began at 135.31966140004806. Response period began at 138.01900800003204, ended at 140.46745990001364 (2.448451899981592 s duration). Button press at <NONE>	None
140.5192164000473	trial_ok	None
141.7616168000386	trial_id	NWF03_05-07.wav
141.81920740002533	play	None
141.8193304000306	flip	141.81908870005282
143.55706320004538	stop	None
143.58592280000448	flip	143.58591920003528
144.58566900005098	flip	144.585664800019
146.90232860000106	flip	146.9023251000326
146.90249260002747	stimulus began at 141.81908870005282. Response period began at 144.585664800019, ended at 146.84421200002544 (2.258547200006433 s duration). Button press at <NONE>	None
146.90262750000693	trial_ok	None
148.11843319999753	trial_id	NWF03_06-01.wav
